Zip,County,City,lat,lon,Zhvi
90250,Los Angeles County,Hawthorne,33.914614,-118.35092,659100
90046,Los Angeles County,Los Angeles,34.098908,-118.36241,1451500
90034,Los Angeles County,Los Angeles,34.03056,-118.39804,1254900
90805,Los Angeles County,Long Beach,33.865916,-118.18362,472500
90650,Los Angeles County,Norwalk,33.906914,-118.08339,491400
90044,Los Angeles County,Los Angeles,33.953814,-118.29158,444200
92683,Orange County,Westminster,33.751418,-117.99392,683400
90026,Los Angeles County,Los Angeles,34.07851,-118.26596,950000
92677,Orange County,Laguna Niguel,33.531938,-117.7025,845500
90066,Los Angeles County,Los Angeles,34.002011,-118.43083,1423900
92804,Orange County,Anaheim,33.818165,-117.97304,588100
90019,Los Angeles County,Los Angeles,34.048411,-118.34015,1125200
90280,Los Angeles County,South Gate,33.944264,-118.1949,451500
90201,Los Angeles County,Bell,33.972814,-118.17385,452500
90004,Los Angeles County,Los Angeles,34.07711,-118.30755,1368600
91342,Los Angeles County,Los Angeles,34.307877,-118.42904,532300
90706,Los Angeles County,Bellflower,33.888165,-118.1276,526300
92627,Orange County,Costa Mesa,33.647028,-117.91506,824800
90025,Los Angeles County,Los Angeles,34.045006,-118.44527,974100
90011,Los Angeles County,Los Angeles,34.007063,-118.25868,417800
90027,Los Angeles County,Los Angeles,34.111208,-118.28842,1519700
91335,Los Angeles County,Los Angeles,34.200104,-118.54099,561200
90731,Los Angeles County,Los Angeles,33.732368,-118.28905,639800
93550,Los Angeles County,Palmdale,34.56548,-118.08549,279000
93536,Los Angeles County,Lancaster,34.728857,-118.32683,355300
92630,Orange County,Lake Forest,33.640223,-117.69108,706300
93535,Los Angeles County,Lancaster,34.691946,-117.97756,259100
90802,Los Angeles County,Long Beach,33.769018,-118.19225,384700
90631,Orange County,La Habra,33.934513,-117.95159,600800
92647,Orange County,Huntington Beach,33.725167,-118.00509,759600
92618,Orange County,Irvine,33.659639,-117.73948,831600
92646,Orange County,Huntington Beach,33.666269,-117.9693,859800
92620,Orange County,Irvine,33.714889,-117.7633,939800
92648,Orange County,Huntington Beach,33.673468,-118.00243,1034600
